sol_number,avg_hamming,weights,Method
1,0.13333333333333333,random,Solution Pool
2,0.15308641975308643,random,Solution Pool
3,0.15555555555555556,random,Solution Pool
4,0.1511111111111111,random,Solution Pool
5,0.14617283950617285,random,Solution Pool
6,0.14885361552028217,random,Solution Pool
7,0.14497354497354498,random,Solution Pool
8,0.14403292181069957,random,Solution Pool
9,0.14156378600823044,random,Solution Pool
10,0.13925925925925928,random,Solution Pool
11,0.13827160493827162,random,Solution Pool
12,0.14150047483380818,random,Solution Pool
13,0.1404965404965405,random,Solution Pool
14,0.1415167548500882,random,Solution Pool
15,0.14135802469135803,random,Solution Pool
16,0.14139433551198258,random,Solution Pool
17,0.14069232631324136,random,Solution Pool
18,0.14165042235217673,random,Solution Pool
19,0.1415204678362573,random,Solution Pool
20,0.14088183421516756,random,Solution Pool
21,0.14032387365720697,random,Solution Pool
22,0.14036012296881864,random,Solution Pool
23,0.14111647879763822,random,Solution Pool
24,0.14153086419753086,random,Solution Pool
25,0.14112820512820512,random,Solution Pool
26,0.14228131265168303,random,Solution Pool
27,0.14187732706251224,random,Solution Pool
28,0.14117861704068602,random,Solution Pool
29,0.1408599404001703,random,Solution Pool
30,0.14027877339705297,random,Solution Pool
31,0.1399342891278375,random,Solution Pool
32,0.14009539842873178,random,Solution Pool
33,0.1404106423714267,random,Solution Pool
34,0.14070339246809835,random,Solution Pool
35,0.1409758965314521,random,Solution Pool
36,0.1412523634745857,random,Solution Pool
37,0.1410463094673621,random,Solution Pool
38,0.14113060428849902,random,Solution Pool
39,0.14117758784425452,random,Solution Pool
40,0.14137308039747065,random,Solution Pool
41,0.14114509399062244,random,Solution Pool
42,0.14106066199089456,random,Solution Pool
43,0.14121055516404352,random,Solution Pool
44,0.14120463898241678,random,Solution Pool
45,0.141105743424584,random,Solution Pool
46,0.14080241203275431,random,Solution Pool
47,0.14042553191489363,random,Solution Pool
48,0.14032501889644747,random,Solution Pool
49,0.14062585034013605,random,Solution Pool
50,0.14049092229484386,random,Solution Pool
51,0.1405843248980504,random,Solution Pool
52,0.14072998978659357,random,Solution Pool
53,0.1407976809793721,random,Solution Pool
54,0.14106497069460033,random,Solution Pool
55,0.14075036075036074,random,Solution Pool
56,0.14103777963427086,random,Solution Pool
57,0.14111267952768256,random,Solution Pool
58,0.14075372859709506,random,Solution Pool
59,0.1406821510776313,random,Solution Pool
60,0.1409512244484922,random,Solution Pool
61,0.14070548602542257,random,Solution Pool
62,0.14091141833077317,random,Solution Pool
63,0.1410493827160494,random,Solution Pool
64,0.14132478632478632,random,Solution Pool
65,0.14120694120694122,random,Solution Pool
66,0.14132033435516023,random,Solution Pool
67,0.1412805254771892,random,Solution Pool
68,0.14098702282845504,random,Solution Pool
69,0.1408603634690591,random,Solution Pool
70,0.14067218123556152,random,Solution Pool
71,0.14095519619776273,random,Solution Pool
72,0.14096623259484753,random,Solution Pool
73,0.14092997106695737,random,Solution Pool
74,0.14075942609275943,random,Solution Pool
75,0.14093827160493827,random,Solution Pool
76,0.14074580390369865,random,Solution Pool
77,0.1408764075430742,random,Solution Pool
78,0.14101722624929375,random,Solution Pool
79,0.1409142053445851,random,Solution Pool
80,0.14130315500685872,random,Solution Pool
81,0.1413853480098587,random,Solution Pool
82,0.14124791850328142,random,Solution Pool
83,0.14116147128195322,random,Solution Pool
84,0.1412096690528063,random,Solution Pool
85,0.14131428281907077,random,Solution Pool
86,0.1414634629283119,random,Solution Pool
87,0.14138705058245288,random,Solution Pool
88,0.1414935875610033,random,Solution Pool
89,0.1413566375364128,random,Solution Pool
90,0.14115859449192783,random,Solution Pool
91,0.14104156712852367,random,Solution Pool
92,0.14088965075407336,random,Solution Pool
93,0.14084750502046314,random,Solution Pool
94,0.14070921985815604,random,Solution Pool
95,0.14087719298245613,random,Solution Pool
96,0.14072801323660428,random,Solution Pool
97,0.1407828194278857,random,Solution Pool
98,0.14076669949685822,random,Solution Pool
99,0.14065394687616908,random,Solution Pool
1,0.14814814814814814,random,Random Shuffle
2,0.16790123456790124,random,Random Shuffle
3,0.15061728395061727,random,Random Shuffle
4,0.1511111111111111,random,Random Shuffle
5,0.1471604938271605,random,Random Shuffle
6,0.14673721340388007,random,Random Shuffle
7,0.14656084656084656,random,Random Shuffle
8,0.14650205761316873,random,Random Shuffle
9,0.14222222222222222,random,Random Shuffle
10,0.14006734006734006,random,Random Shuffle
11,0.13894500561167228,random,Random Shuffle
12,0.14112060778727445,random,Random Shuffle
13,0.13968253968253969,random,Random Shuffle
14,0.13968253968253969,random,Random Shuffle
15,0.13814814814814813,random,Random Shuffle
16,0.13954248366013072,random,Random Shuffle
17,0.1384652626482692,random,Random Shuffle
18,0.13827160493827162,random,Random Shuffle
19,0.13996101364522417,random,Random Shuffle
20,0.14123456790123456,random,Random Shuffle
21,0.14192720859387525,random,Random Shuffle
22,0.14194115063680282,random,Random Shuffle
23,0.14084809447128288,random,Random Shuffle
24,0.14064197530864198,random,Random Shuffle
25,0.14017094017094017,random,Random Shuffle
26,0.13970665822517675,random,Random Shuffle
27,0.13952576915539877,random,Random Shuffle
28,0.14030286444079546,random,Random Shuffle
29,0.14147296722009364,random,Random Shuffle
30,0.14085225009956193,random,Random Shuffle
31,0.14059139784946237,random,Random Shuffle
32,0.14121773288439954,random,Random Shuffle
33,0.1407275368059682,random,Random Shuffle
34,0.13990662931839404,random,Random Shuffle
35,0.13961199294532628,random,Random Shuffle
36,0.1394950506061617,random,Random Shuffle
37,0.13921289710763393,random,Random Shuffle
38,0.14013095416604188,random,Random Shuffle
39,0.13977207977207975,random,Random Shuffle
40,0.14043360433604335,random,Random Shuffle
41,0.14100744182044997,random,Random Shuffle
42,0.14110988064476437,random,Random Shuffle
43,0.14147678333724845,random,Random Shuffle
44,0.14133931911709688,random,Random Shuffle
45,0.14147790302379676,random,Random Shuffle
46,0.14129578236886287,random,Random Shuffle
47,0.14083267664827948,random,Random Shuffle
48,0.14104308390022677,random,Random Shuffle
49,0.14106122448979594,random,Random Shuffle
50,0.14144371822803195,random,Random Shuffle
51,0.14137757667169432,random,Random Shuffle
52,0.14161156802666236,random,Random Shuffle
53,0.14139814167766648,random,Random Shuffle
54,0.14156378600823044,random,Random Shuffle
55,0.14153920153920155,random,Random Shuffle
56,0.14169683467929084,random,Random Shuffle
57,0.14190136900360736,random,Random Shuffle
58,0.14174946425092538,random,Random Shuffle
59,0.14164469554300063,random,Random Shuffle
60,0.1418174458611617,random,Random Shuffle
61,0.14160643986133145,random,Random Shuffle
62,0.14158654302023477,random,Random Shuffle
63,0.141277189888301,random,Random Shuffle
64,0.14148148148148149,random,Random Shuffle
65,0.141345074678408,random,Random Shuffle
66,0.14149454746469672,random,Random Shuffle
67,0.1418853445192339,random,Random Shuffle
68,0.14175744371822802,random,Random Shuffle
69,0.14187869028448738,random,Random Shuffle
70,0.14184663536776213,random,Random Shuffle
71,0.1418825711470469,random,Random Shuffle
72,0.14171035571339985,random,Random Shuffle
73,0.14154976894702923,random,Random Shuffle
74,0.14141074407741075,random,Random Shuffle
75,0.14135932423651723,random,Random Shuffle
76,0.14119642540695174,random,Random Shuffle
77,0.1412957412957413,random,Random Shuffle
78,0.1413057328669143,random,Random Shuffle
79,0.14143928738865447,random,Random Shuffle
80,0.14131687242798355,random,Random Shuffle
81,0.14143887940937022,random,Random Shuffle
82,0.1412043839313895,random,Random Shuffle
83,0.14107222540957481,random,Random Shuffle
84,0.14096483037659507,random,Random Shuffle
85,0.14092921923291282,random,Random Shuffle
86,0.14065163800528677,random,Random Shuffle
87,0.14073687062192808,random,Random Shuffle
88,0.14059319789656868,random,Random Shuffle
89,0.14042816849308734,random,Random Shuffle
90,0.14054357165468276,random,Random Shuffle
91,0.14040806214719256,random,Random Shuffle
92,0.14050871816182708,random,Random Shuffle
93,0.14035605039951873,random,Random Shuffle
94,0.1404703247480403,random,Random Shuffle
95,0.14043534762833007,random,Random Shuffle
96,0.1405975563192058,random,Random Shuffle
97,0.1406674926557106,random,Random Shuffle
98,0.14067813432892798,random,Random Shuffle
99,0.14065394687616908,random,Random Shuffle
1,0.1925925925925926,random,Greedy
2,0.1925925925925926,random,Greedy
3,0.1728395061728395,random,Greedy
4,0.16592592592592592,random,Greedy
5,0.16296296296296298,random,Greedy
6,0.15943562610229278,random,Greedy
7,0.15925925925925927,random,Greedy
8,0.16049382716049385,random,Greedy
9,0.15835390946502056,random,Greedy
10,0.1573063973063973,random,Greedy
11,0.15600448933782268,random,Greedy
12,0.1553656220322887,random,Greedy
13,0.15466015466015468,random,Greedy
14,0.1544973544973545,random,Greedy
15,0.15469135802469136,random,Greedy
16,0.153921568627451,random,Greedy
17,0.15357056402808036,random,Greedy
18,0.15282651072124756,random,Greedy
19,0.1523586744639376,random,Greedy
20,0.15195767195767196,random,Greedy
21,0.15154721821388487,random,Greedy
22,0.1511345337432294,random,Greedy
23,0.1507783145464305,random,Greedy
24,0.15041975308641978,random,Greedy
25,0.15015384615384614,random,Greedy
26,0.1498786535823573,random,Greedy
27,0.1496374681559867,random,Greedy
28,0.14946177704798394,random,Greedy
29,0.14927203065134098,random,Greedy
30,0.1490720828355237,random,Greedy
31,0.14889486260454002,random,Greedy
32,0.14873737373737372,random,Greedy
